
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2020-01-01;48.914,38;4075437321932;51.398,91;5095772721757;52.141,66;5928280659154;50.732,63;1202176484886;47.650,90;498736992245;51.292,03;4232862420871;52.831,96;8902967458
2020-01-02;49.130,11;4093500660512;51.590,88;5112757735202;52.349,68;5951221224091;50.927,31;1206215913752;47.840,98;503274474425;51.488,80;4253944136894;53.025,93;12478109292
2020-01-03;49.961,89;4160899411921;52.409,84;5194756032890;53.190,38;6050563083251;51.784,17;1226333220198;48.617,92;511582984408;52.323,59;4323769742162;53.868,43;12647310616
2020-01-04;49.961,89;4160899411921;52.409,84;5194756032890;53.190,38;6050563083251;51.784,17;1226333220198;48.617,92;511582984408;52.323,59;4323769742162;53.868,43;12647310616
2020-01-05;49.961,89;4160899411921;52.409,84;5194756032890;53.190,38;6050563083251;51.784,17;1226333220198;48.617,92;511582984408;52.323,59;4323769742162;53.868,43;12647310616
2020-01-06;50.111,49;4171612381650;52.546,87;5213764114214;53.331,12;6064386063552;51.939,64;1229939706213;48.761,41;513038879965;52.461,58;4337296281908;54.039,65;12663563216
2020-01-07;50.640,22;4214570721762;53.052,66;5263207425366;53.833,12;6119922241912;52.457,11;1241677618725;49.241,43;518092279732;52.983,38;4381025709452;54.577,43;12799238708
2020-01-08;50.875,10;4252382547405;53.290,81;5288026939760;54.085,37;6173324451267;52.710,59;1249475383502;49.478,84;521044622544;53.229,13;4403817113221;54.714,84;12941409776
2020-01-09;50.547,37;4204655303349;52.954,24;5247940662944;53.746,63;6123535883231;52.365,08;1239693399202;49.159,00;517576327542;52.883,28;4368791615115;54.388,52;12791187388
2020-01-10;50.733,85;4189532565174;53.165,89;5256739463804;53.972,35;6140240938332;52.570,28;1243092799048;49.350,88;518618512505;53.093,55;4380844719565;54.568,46;12910983564
2020-01-11;50.733,85;4189532565174;53.165,89;5256739463804;53.972,35;6140240938332;52.570,28;1243092799048;49.350,88;518618512505;53.093,55;4380844719565;54.568,46;12910983564
2020-01-12;50.733,85;4189532565174;53.165,89;5256739463804;53.972,35;6140240938332;52.570,28;1243092799048;49.350,88;518618512505;53.093,55;4380844719565;54.568,46;12910983564
2020-01-13;51.162,58;4233421831063;53.597,30;5301264309653;54.437,05;6192312565311;52.981,50;1254580356717;49.753,14;523027252202;53.528,07;4417433405485;55.022,07;13021236153
